cust_id,DOB,Gender,city_code,cluster,recency,frequency,monetary,R,F,M,Avg_M
274350,16-05-1970,F,3,3,981,4,10897.51,1,3,3,11626.62583333333
273645,22-05-1970,F,4,2,404,5,9455.49,3,3,2,12421.787426829273
270911,22-05-1970,M,2,0,790,5,19842.49,1,3,4,11626.62583333333
268424,23-05-1970,F,8,4,347,6,21065.72,4,4,4,19173.63854545453
271045,23-05-1970,F,7,1,63,7,19720.94,4,4,4,19173.63854545453
268627,01-06-1970,M,9,3,305,4,7351.56,4,2,2,8625.839160714288
270430,01-06-1970,M,7,1,591,6,13872.17,2,4,3,18373.700098684218
271626,02-06-1970,,6,5,623,4,15412.54,2,3,4,12204.505801630432
272301,03-06-1970,F,8,5,930,3,10822.37,1,2,3,8349.663481675392
269531,05-06-1970,M,2,5,951,3,5766.99,1,2,2,8349.663481675392
274849,09-06-1970,M,4,2,386,5,7422.28,3,3,2,12421.787426829273
271031,09-06-1970,F,2,3,434,6,14498.7,3,4,3,18339.582083333327
272018,09-06-1970,F,6,2,490,4,8490.82,2,3,2,12204.505801630432
272186,09-06-1970,M,10,0,387,9,24518.85,3,4,4,18339.582083333327
270047,10-06-1970,M,1,1,713,6,10766.01,1,4,3,18241.637869565224
274128,10-06-1970,M,10,5,631,5,8506.29,2,3,2,12204.505801630432
268313,11-06-1970,F,8,4,504,5,18178.36,2,3,4,12204.505801630432
270933,15-06-1970,M,8,4,423,5,9823.45,3,3,3,12421.787426829273
271072,16-06-1970,M,6,1,377,1,651.95,3,1,1,5046.3047916666665
271465,17-06-1970,F,9,0,613,3,2713.88,2,2,1,8535.667553763442
274770,17-06-1970,F,2,4,616,5,8866.52,2,3,2,12204.505801630432
270676,19-06-1970,M,5,5,339,2,5696.28,4,1,2,4952.719853801169
273162,19-06-1970,M,8,1,344,9,13564.98,4,4,3,19173.63854545453
268533,23-06-1970,F,6,5,408,4,14036.82,3,2,3,8562.528684210523
275246,25-06-1970,M,3,1,1,5,7020.07,4,3,2,12006.586156914895
267066,25-06-1970,F,10,1,1137,3,8245.51,1,1,2,4086.0280243161073
269345,26-06-1970,F,10,1,286,7,15815.86,4,4,4,19173.63854545453
275116,29-06-1970,M,5,2,440,3,6014.52,3,2,2,8562.528684210523
273840,01-07-1970,M,3,0,972,3,10139.48,1,2,3,8349.663481675392
268792,04-07-1970,M,4,1,389,3,5182.45,3,2,1,8562.528684210523
273708,09-07-1970,F,7,4,376,11,27945.45,3,4,4,18339.582083333327
272495,10-07-1970,M,8,4,493,4,13412.49,2,3,3,12204.505801630432
272926,11-07-1970,F,4,1,488,7,13864.43,2,4,3,18373.700098684218
268447,14-07-1970,M,,3,464,6,9805.77,3,4,3,18339.582083333327
273442,16-07-1970,M,4,1,1032,1,2945.93,1,1,1,4086.0280243161073
267081,17-07-1970,F,3,2,821,4,9025.64,1,2,2,8349.663481675392
267042,23-07-1970,M,8,2,499,8,8297.44,2,4,2,18373.700098684218
273151,24-07-1970,F,4,1,565,4,7809.04,2,3,2,12204.505801630432
274169,24-07-1970,F,1,5,681,3,8189.15,1,2,2,8349.663481675392
270130,26-07-1970,M,9,1,351,2,4846.53,4,1,1,4952.719853801169
274546,26-07-1970,M,3,0,839,5,22804.99,1,3,4,11626.62583333333
273575,27-07-1970,M,1,2,366,8,18186.09,4,4,4,19173.63854545453
267280,02-08-1970,M,5,5,547,3,10874.31,2,1,3,4827.6917469879545
267304,03-08-1970,M,4,1,315,2,1486.22,4,1,1,4952.719853801169
274445,06-08-1970,M,8,3,345,6,14852.31,4,4,3,19173.63854545453
270678,06-08-1970,F,4,2,289,6,22354.15,4,4,4,19173.63854545453
270328,07-08-1970,F,4,2,505,6,17694.37,2,4,4,18373.700098684218
269449,09-08-1970,M,6,5,324,13,35685.97,4,4,4,19173.63854545453
275014,12-08-1970,M,4,5,465,1,3699.54,3,1,1,5046.3047916666665
269825,21-08-1970,M,4,1,1106,2,11602.5,1,1,3,4086.0280243161073
271750,23-08-1970,F,6,1,1117,3,3334.89,1,2,1,8349.663481675392
267826,24-08-1970,F,7,1,676,5,19294.4,2,3,4,12204.505801630432
272501,26-08-1970,F,1,3,317,7,21366.28,4,4,4,19173.63854545453
273587,29-08-1970,F,1,1,353,5,21646.95,4,3,4,12006.586156914895
272721,01-09-1970,M,8,5,346,6,6165.9,4,4,2,19173.63854545453
275134,02-09-1970,F,8,3,184,3,9678.69,4,2,2,8625.839160714288
267713,03-09-1970,M,1,5,1113,3,7194.66,1,2,2,8349.663481675392
274029,03-09-1970,F,1,1,540,2,5145.98,2,1,1,4827.6917469879545
272261,03-09-1970,F,9,1,393,4,6716.19,3,3,2,12421.787426829273
274628,04-09-1970,M,5,0,641,5,16712.02,2,3,4,12204.505801630432
273776,06-09-1970,F,2,1,440,2,6041.03,3,1,2,5046.3047916666665
274743,06-09-1970,M,4,1,578,2,4427.74,2,1,1,4827.6917469879545
270051,07-09-1970,M,8,1,700,4,15990.46,1,2,4,8349.663481675392
274455,08-09-1970,F,10,4,659,6,19245.79,2,4,4,18373.700098684218
272088,08-09-1970,M,5,5,369,5,12629.05,3,3,3,12421.787426829273
273583,08-09-1970,M,5,1,681,4,12132.9,1,3,3,11626.62583333333
267490,09-09-1970,F,4,2,359,6,10217.93,4,4,3,19173.63854545453
268709,09-09-1970,F,,1,472,2,5062.01,3,1,1,5046.3047916666665
267536,10-09-1970,M,3,1,2,3,4068.61,4,1,1,4952.719853801169
271286,10-09-1970,M,1,0,770,3,10951.66,1,2,3,8349.663481675392
273517,11-09-1970,M,5,4,1046,1,2309.45,1,1,1,4086.0280243161073
268365,12-09-1970,M,5,5,486,1,5154.82,2,1,1,4827.6917469879545
266959,13-09-1970,F,1,0,532,3,7815.66,2,1,2,4827.6917469879545
271177,14-09-1970,F,5,5,521,5,12929.6,2,3,3,12204.505801630432
274180,14-09-1970,M,6,0,392,4,6937.19,3,3,2,12421.787426829273
267613,15-09-1970,M,3,0,305,6,12540.65,4,4,3,19173.63854545453
270748,17-09-1970,M,5,1,896,1,2646.47,1,1,1,4086.0280243161073
274682,19-09-1970,M,10,5,549,3,13660.01,2,2,3,8535.667553763442
266822,20-09-1970,F,9,2,416,10,27636.05,3,4,4,18339.582083333327
272017,22-09-1970,M,8,4,737,7,24496.74,1,4,4,18241.637869565224
267424,22-09-1970,M,7,0,733,4,3539.32,1,2,1,8349.663481675392
272402,23-09-1970,F,10,3,628,3,6820.06,2,2,2,8535.667553763442
274194,24-09-1970,M,5,4,395,3,12916.34,3,2,3,8562.528684210523
274232,26-09-1970,F,5,3,744,5,13704.21,1,3,3,11626.62583333333
272777,29-09-1970,M,7,4,291,4,15052.31,4,3,3,12006.586156914895
273372,29-09-1970,F,1,1,643,3,7262.06,2,2,2,8535.667553763442
273398,01-10-1970,F,1,5,480,4,27674.72,2,3,4,12204.505801630432
267707,02-10-1970,F,2,1,415,7,6427.78,3,4,2,18339.582083333327
273170,03-10-1970,F,8,3,570,3,10433.41,2,2,3,8535.667553763442
271924,03-10-1970,M,5,4,292,5,17234.68,4,3,4,12006.586156914895
270446,05-10-1970,M,10,0,341,4,19524.24,4,2,4,8625.839160714288
273353,07-10-1970,F,4,3,123,2,2374.64,4,1,1,4952.719853801169
270331,08-10-1970,F,10,1,348,7,21476.78,4,4,4,19173.63854545453
269676,09-10-1970,M,8,5,756,2,2059.72,1,1,1,4086.0280243161073
269919,11-10-1970,M,1,1,692,2,1102.79,1,1,1,4086.0280243161073
268312,12-10-1970,F,9,5,773,1,607.75,1,1,1,4086.0280243161073
267959,12-10-1970,M,6,5,336,4,13481.0,4,2,3,8625.839160714288
268998,12-10-1970,F,7,3,308,6,18105.43,4,4,4,19173.63854545453
272784,14-10-1970,F,8,1,762,4,16263.39,1,3,4,11626.62583333333
270619,16-10-1970,M,6,1,277,7,10589.21,4,4,3,19173.63854545453
274865,18-10-1970,F,8,5,124,5,15546.25,4,3,4,12006.586156914895
273705,20-10-1970,M,5,1,620,2,8901.88,2,1,2,4827.6917469879545
268772,20-10-1970,F,3,5,291,5,9961.58,4,3,3,12006.586156914895
266972,21-10-1970,M,7,5,361,4,13120.77,4,2,3,8625.839160714288
269235,22-10-1970,F,4,1,440,10,8884.2,3,4,2,18339.582083333327
270938,23-10-1970,F,9,1,312,5,12467.72,4,3,3,12006.586156914895
271959,26-10-1970,M,9,2,319,9,26041.53,4,4,4,19173.63854545453
272168,26-10-1970,M,2,5,401,4,4217.78,3,3,1,12421.787426829273
271587,27-10-1970,F,10,4,445,6,18123.1,3,4,4,18339.582083333327
273929,28-10-1970,M,5,1,663,4,15411.43,2,3,4,12204.505801630432
268697,29-10-1970,F,1,1,409,7,15384.92,3,4,4,18339.582083333327
268635,01-11-1970,M,4,4,304,7,11159.4,4,4,3,19173.63854545453
275166,05-11-1970,M,10,2,1309,3,8811.27,1,2,2,8349.663481675392
267603,06-11-1970,F,1,4,610,2,4586.85,2,1,1,4827.6917469879545
267396,13-11-1970,M,9,1,630,3,7067.58,2,1,2,4827.6917469879545
272922,14-11-1970,F,7,1,363,4,14931.86,4,3,3,12006.586156914895
268481,15-11-1970,F,3,1,368,6,20333.1,3,4,4,18339.582083333327
268084,18-11-1970,M,1,1,1429,1,3858.66,1,1,1,4086.0280243161073
274493,19-11-1970,M,5,1,384,4,2945.93,3,3,1,12421.787426829273
273222,19-11-1970,M,6,5,585,4,14370.52,2,3,3,12204.505801630432
270316,19-11-1970,M,4,5,366,6,9859.92,4,4,3,19173.63854545453
270945,23-11-1970,M,1,5,1051,2,3562.52,1,1,1,4086.0280243161073
275123,23-11-1970,M,9,0,617,7,13820.24,2,4,3,18373.700098684218
267589,24-11-1970,F,9,1,1191,2,9342.77,1,1,2,4086.0280243161073
269243,25-11-1970,F,7,5,500,2,4784.65,2,1,1,4827.6917469879545
273122,28-11-1970,M,4,1,388,3,8378.11,3,2,2,8562.528684210523
274486,29-11-1970,M,9,3,636,3,5738.26,2,2,2,8535.667553763442
273556,01-12-1970,M,3,4,678,6,19271.2,2,4,4,18373.700098684218
275200,04-12-1970,M,8,1,748,3,1901.7,1,2,1,8349.663481675392
272212,10-12-1970,M,4,1,355,4,9358.25,4,3,2,12006.586156914895
273169,12-12-1970,F,3,3,681,1,7094.1,1,1,2,4086.0280243161073
273664,13-12-1970,M,6,3,500,4,10149.42,2,3,3,12204.505801630432
267851,13-12-1970,M,3,1,486,2,1962.48,2,1,1,4827.6917469879545
268636,15-12-1970,M,4,0,932,6,12615.78,1,4,3,18241.637869565224
269458,16-12-1970,F,10,0,509,2,6749.34,2,1,2,4827.6917469879545
269867,17-12-1970,F,1,5,290,5,16605.94,4,3,4,12006.586156914895
270218,18-12-1970,F,8,1,494,3,8879.78,2,2,2,8535.667553763442
272117,19-12-1970,M,10,5,376,4,10687.56,3,3,3,12421.787426829273
268282,22-12-1970,F,1,1,591,4,7898.54,2,2,2,8535.667553763442
268578,24-12-1970,M,7,1,1063,2,6874.2,1,1,2,4086.0280243161073
270768,27-12-1970,M,10,3,559,6,20960.74,2,4,4,18373.700098684218
269715,02-01-1971,M,10,5,2,3,4843.22,4,2,1,8625.839160714288
267512,07-01-1971,F,7,5,526,4,4129.39,2,2,1,8535.667553763442
267618,08-01-1971,M,2,1,365,6,18537.48,4,4,4,19173.63854545453
267359,08-01-1971,M,1,4,481,4,11011.33,2,2,3,8535.667553763442
272126,10-01-1971,M,9,1,863,3,7664.28,1,2,2,8349.663481675392
274990,10-01-1971,M,9,1,605,4,16619.2,2,3,4,12204.505801630432
269471,10-01-1971,F,2,1,456,10,15588.24,3,4,4,18339.582083333327
270080,11-01-1971,M,8,4,461,6,7716.22,3,4,2,18339.582083333327
274669,11-01-1971,F,9,1,1031,2,4460.89,1,1,1,4086.0280243161073
275111,12-01-1971,M,8,0,699,4,7154.88,1,3,2,11626.62583333333
269574,14-01-1971,F,5,5,552,6,10135.06,2,4,3,18373.700098684218
273602,15-01-1971,M,2,1,467,3,5520.58,3,2,1,8562.528684210523
267558,17-01-1971,M,6,1,445,3,1105.0,3,1,1,5046.3047916666665
271776,22-01-1971,F,10,1,522,1,934.83,2,1,1,4827.6917469879545
272992,22-01-1971,F,1,1,714,4,12216.88,1,3,3,11626.62583333333
274215,23-01-1971,M,8,3,396,6,28832.76,3,4,4,18339.582083333327
272536,28-01-1971,M,2,1,540,5,6895.2,2,3,2,12204.505801630432
274101,01-02-1971,M,1,0,447,5,14562.79,3,3,3,12421.787426829273
270120,01-02-1971,F,9,5,477,6,12374.9,3,4,3,18339.582083333327
274913,02-02-1971,M,8,0,416,6,15831.34,3,4,4,18339.582083333327
271323,02-02-1971,M,1,4,577,6,9584.77,2,4,2,18373.700098684218
268744,06-02-1971,F,2,0,318,4,10617.94,4,2,3,8625.839160714288
271900,08-02-1971,M,9,5,879,3,10525.12,1,2,3,8349.663481675392
272594,09-02-1971,M,10,1,712,2,10070.97,1,1,3,4086.0280243161073
272418,13-02-1971,F,6,5,512,4,7778.1,2,3,2,12204.505801630432
270738,14-02-1971,F,1,0,363,5,15802.6,4,3,4,12006.586156914895
272874,15-02-1971,F,1,2,154,6,24470.22,4,4,4,19173.63854545453
270427,15-02-1971,F,5,5,155,2,5898.49,4,1,2,4952.719853801169
271975,16-02-1971,M,2,4,583,7,25885.73,2,4,4,18373.700098684218
269139,20-02-1971,M,3,3,539,8,18447.97,2,4,4,18373.700098684218
268813,21-02-1971,M,7,5,493,4,12240.08,2,2,3,8535.667553763442
269091,23-02-1971,F,10,2,399,5,12268.82,3,3,3,12421.787426829273
268583,23-02-1971,F,8,5,711,3,4477.46,1,2,1,8349.663481675392
274978,26-02-1971,M,9,4,312,3,9950.52,4,2,3,8625.839160714288
270393,26-02-1971,F,1,5,573,1,3033.22,2,1,1,4827.6917469879545
266794,28-02-1971,F,9,4,1,12,28253.75,4,4,4,19173.63854545453
266886,28-02-1971,M,1,3,585,1,2143.7,2,1,1,4827.6917469879545
272497,01-03-1971,M,10,3,359,6,10051.08,4,4,3,19173.63854545453
273545,01-03-1971,M,3,1,474,2,7561.51,3,1,2,5046.3047916666665
270252,02-03-1971,M,5,4,245,9,22528.74,4,4,4,19173.63854545453
267101,02-03-1971,M,8,0,1330,1,5967.0,1,1,2,4086.0280243161073
270631,05-03-1971,F,8,1,62,4,5844.35,4,3,2,12006.586156914895
267818,07-03-1971,M,2,0,680,3,16376.1,2,2,4,8535.667553763442
267742,08-03-1971,M,5,1,503,4,8349.38,2,2,2,8535.667553763442
275023,09-03-1971,M,6,1,286,7,13606.97,4,4,3,19173.63854545453
271019,09-03-1971,F,5,1,702,3,4100.65,1,2,1,8349.663481675392
271718,10-03-1971,F,6,1,536,5,11573.77,2,3,3,12204.505801630432
271905,11-03-1971,F,2,2,310,6,24048.12,4,4,4,19173.63854545453
267976,11-03-1971,F,10,0,526,3,9868.75,2,2,3,8535.667553763442
270921,14-03-1971,F,7,0,833,2,11548.35,1,1,3,4086.0280243161073
270770,15-03-1971,M,5,3,621,9,32772.09,2,4,4,18373.700098684218
275172,16-03-1971,F,1,5,378,4,7168.14,3,3,2,12421.787426829273
270711,17-03-1971,F,7,1,1017,1,4200.1,1,1,1,4086.0280243161073
268581,17-03-1971,F,9,5,462,4,6143.8,3,2,2,8562.528684210523
274073,18-03-1971,M,10,1,363,5,10927.34,4,3,3,12006.586156914895
272009,19-03-1971,M,8,3,593,3,12711.92,2,2,3,8535.667553763442
267346,19-03-1971,M,7,4,394,10,13313.04,3,4,3,18339.582083333327
274839,19-03-1971,F,7,2,322,7,22140.88,4,4,4,19173.63854545453
267269,21-03-1971,F,4,4,785,6,24115.52,1,4,4,18241.637869565224
274441,22-03-1971,M,1,1,1116,2,2424.37,1,1,1,4086.0280243161073
272940,25-03-1971,F,1,5,311,5,17229.16,4,3,4,12006.586156914895
274807,28-03-1971,F,7,1,575,2,3568.05,2,1,1,4827.6917469879545
267240,29-03-1971,M,6,5,512,4,5906.23,2,2,2,8535.667553763442
268670,01-04-1971,M,9,5,154,6,12115.22,4,4,3,19173.63854545453
267350,01-04-1971,F,9,1,960,2,6926.14,1,1,2,4086.0280243161073
269218,06-04-1971,M,8,3,481,4,13036.79,2,2,3,8535.667553763442
270002,08-04-1971,M,7,4,472,4,5678.6,3,2,2,8562.528684210523
271651,10-04-1971,F,1,1,524,2,2505.03,2,1,1,4827.6917469879545
269658,11-04-1971,F,6,5,491,2,5494.06,2,1,1,4827.6917469879545
268500,13-04-1971,F,7,1,431,4,10080.92,3,2,3,8562.528684210523
267228,14-04-1971,F,6,1,906,4,8359.33,1,2,2,8349.663481675392
268657,18-04-1971,F,8,5,493,6,9465.43,2,4,2,18373.700098684218
267032,21-04-1971,F,4,1,364,6,11612.44,4,4,3,19173.63854545453
268342,21-04-1971,M,7,5,802,3,12729.6,1,2,3,8349.663481675392
271489,21-04-1971,M,9,5,284,5,5643.23,4,3,2,12006.586156914895
267078,22-04-1971,M,5,1,372,1,1949.22,3,1,1,5046.3047916666665
267463,22-04-1971,F,4,3,92,6,11434.54,4,4,3,19173.63854545453
274960,24-04-1971,F,9,5,1020,6,14308.65,1,4,3,18241.637869565224
273358,25-04-1971,F,8,1,92,5,8817.9,4,3,2,12006.586156914895
267098,27-04-1971,F,9,1,288,1,120.44,4,1,1,4952.719853801169
273781,28-04-1971,F,3,1,661,4,4632.16,2,3,1,12204.505801630432
272037,29-04-1971,F,7,5,423,3,7140.51,3,2,2,8562.528684210523
271485,01-05-1971,M,10,3,347,6,25757.55,4,4,4,19173.63854545453
268909,01-05-1971,M,2,1,655,3,2930.46,2,2,1,8535.667553763442
272672,05-05-1971,F,10,1,215,6,13148.4,4,4,3,19173.63854545453
274551,06-05-1971,M,3,3,432,5,12275.44,3,3,3,12421.787426829273
273807,08-05-1971,M,9,2,406,5,17968.4,3,3,4,12421.787426829273
274818,08-05-1971,M,4,1,357,2,2192.32,4,1,1,4952.719853801169
274092,10-05-1971,M,9,1,340,5,7058.74,4,3,2,12006.586156914895
274008,11-05-1971,M,6,4,401,6,15656.75,3,4,4,18339.582083333327
269935,11-05-1971,F,4,3,185,5,6885.26,4,3,2,12006.586156914895
274549,13-05-1971,M,1,1,624,5,6485.24,2,3,2,12204.505801630432
269245,20-05-1971,M,4,3,532,12,32406.34,2,4,4,18373.700098684218
268263,20-05-1971,F,1,1,570,2,3634.34,2,1,1,4827.6917469879545
270478,20-05-1971,F,7,1,563,1,387.86,2,1,1,4827.6917469879545
272729,21-05-1971,F,2,3,636,4,18320.9,2,3,4,12204.505801630432
272839,22-05-1971,F,8,5,446,5,12519.65,3,3,3,12421.787426829273
270150,22-05-1971,F,8,4,814,4,15109.77,1,2,3,8349.663481675392
273963,24-05-1971,F,7,5,337,3,14138.48,4,2,3,8625.839160714288
269844,25-05-1971,F,9,5,618,3,5018.91,2,2,1,8535.667553763442
275174,27-05-1971,F,10,0,452,5,8824.53,3,3,2,12421.787426829273
266931,29-05-1971,F,4,0,393,6,16571.69,3,3,4,12421.787426829273
273146,04-06-1971,M,5,5,480,2,5265.32,3,1,1,5046.3047916666665
267995,04-06-1971,M,4,2,589,6,31421.78,2,4,4,18373.700098684218
270036,04-06-1971,M,8,0,309,5,15602.6,4,3,4,12006.586156914895
268301,05-06-1971,F,1,5,651,4,14325.22,2,2,3,8535.667553763442
268200,05-06-1971,F,1,5,360,5,12806.95,4,3,3,12006.586156914895
274412,06-06-1971,F,4,0,649,4,4392.38,2,3,1,12204.505801630432
267852,07-06-1971,F,9,4,443,4,15865.59,3,2,4,8562.528684210523
267639,07-06-1971,M,8,1,363,6,12338.43,4,4,3,19173.63854545453
274837,09-06-1971,F,3,5,321,5,7922.85,4,3,2,12006.586156914895
273383,11-06-1971,F,6,3,688,8,29640.52,1,4,4,18241.637869565224
274632,13-06-1971,F,3,5,644,3,6972.55,2,2,2,8535.667553763442
273397,14-06-1971,F,5,1,319,5,15666.69,4,3,4,12006.586156914895
274406,15-06-1971,F,1,2,816,3,11780.41,1,2,3,8349.663481675392
267849,17-06-1971,F,3,5,468,2,8146.06,3,1,2,5046.3047916666665
271331,18-06-1971,F,9,1,422,5,11709.68,3,3,3,12421.787426829273
274662,20-06-1971,M,7,1,315,5,6689.67,4,3,2,12006.586156914895
271827,21-06-1971,M,3,1,723,3,2204.48,1,2,1,8349.663481675392
270119,23-06-1971,F,2,4,398,3,7972.58,3,2,2,8562.528684210523
267452,24-06-1971,F,5,1,614,3,5708.43,2,1,2,4827.6917469879545
267395,24-06-1971,M,6,1,388,5,9748.31,3,3,3,12421.787426829273
271915,24-06-1971,F,7,1,520,4,11421.28,2,3,3,12204.505801630432
272098,25-06-1971,F,4,2,373,6,16613.68,3,4,4,18339.582083333327
267001,27-06-1971,F,6,0,319,3,14185.99,4,1,3,4952.719853801169
268363,29-06-1971,M,10,2,423,3,11405.81,3,2,3,8562.528684210523
268840,29-06-1971,M,8,5,577,5,14142.9,2,3,3,12204.505801630432
270586,29-06-1971,M,2,1,749,4,8058.77,1,3,2,11626.62583333333
272162,03-07-1971,F,5,1,375,2,3742.64,3,1,1,5046.3047916666665
269473,04-07-1971,M,4,0,636,3,6477.51,2,2,2,8535.667553763442
269756,04-07-1971,M,3,1,919,1,2892.89,1,1,1,4086.0280243161073
271445,05-07-1971,F,3,1,873,3,3448.7,1,2,1,8349.663481675392
271345,06-07-1971,F,8,0,522,5,12245.61,2,3,3,12204.505801630432
273527,07-07-1971,F,2,0,949,7,31886.99,1,4,4,18241.637869565224
269357,08-07-1971,M,9,1,776,4,5213.39,1,2,1,8349.663481675392
